Province,Year,FDI
Ca Mau ,2017,20
Hau Giang ,2017,35883.84988273686
Can Tho ,2017,23.61570267982222
Thai Binh ,2017,98.90690976924446
An Giang ,2017,6.512409351111111
Nam Dinh ,2017,1763.999741008748
Ben Tre ,2017,234.06455555555556
Ha Tinh ,2017,76.46413566666666
Lam Dong ,2017,60.24888888888889
Kien Giang ,2017,1009.2492833626444
Quang Tri ,2017,3.41
Tuyen Quang ,2017,2.6433690622222223
Dong Thap ,2017,72.60351523715556
Yen Bai ,2017,236.15384693595556
Kon Tum ,2017,0.9441226666666667
Bac Kan ,2017,
Dak Lak ,2017,59.747769644444446
Lang Son ,2017,2.8
Dien Bien ,2017,4.966933333333333
Lao Cai ,2017,15.13688888888889
Quang Binh ,2017,203.42872049124443
Ha Giang ,2017,4
Son La ,2017,8.166666666666668
Dak Nong ,2017,20.983
Cao Bang ,2017,7.928098017377779
Lai Chau ,2017,
Hoa Binh ,2017,30.389439632533335
Gia Lai ,2017,
Ha Noi ,2018,5948.646436791714
Ho Chi Minh ,2018,3093.492027053592
Binh Duong ,2018,2114.6797248282123
Dong Nai ,2018,1272.38613324938
Bac Ninh ,2018,836.8231284061744
Hai Phong ,2018,2327.160206677994
Tay Ninh ,2018,688.2806850307696
Bac Giang ,2018,480.68108540766997
Ba Ria - Vung Tau ,2018,1455.5794113074915
Ha Nam ,2018,401.6486095777778
Long An ,2018,597.0089961266348
Hai Duong ,2018,542.9965801811339
Thai Nguyen ,2018,436.748981916983
Vinh Phuc ,2018,368.0684444444
Da Nang ,2018,278.79328211116
Hung Yen ,2018,461.93103243362395
Binh Phuoc ,2018,478.41850666782597
Tien Giang ,2018,215.16128551123998
Thanh Hoa ,2018,353.89560644448994
Phu Tho ,2018,157.2373265555
Thua Thien Hue ,2018,1123.9976067834887
Nghe An ,2018,19.116305086700002
Quang Ninh ,2018,394.95815547642997
Phu Yen ,2018,13.901032635630001
Khanh Hoa ,2018,89.756031
Quang Nam ,2018,445.47906339689996
Binh Thuan ,2018,15.635155355559998
Vinh Long ,2018,165.33684133628998
Ninh Binh ,2018,170.75414966663
Quang Ngai ,2018,364.67509975712005
Ninh Thuan ,2018,398.1451168795067
Bac Lieu ,2018,366.38646988889
Soc Trang ,2018,56.064134771570004
Tra Vinh ,2018,132.7600942114
Binh Dinh ,2018,150.82434400006667
Ca Mau ,2018,37.44157146486
Hau Giang ,2018,2.2097637952
Can Tho ,2018,31.701170777744444
Thai Binh ,2018,48.752475
An Giang ,2018,2.09765384
Nam Dinh ,2018,246.96368755273
Ben Tre ,2018,385.183763249431
Ha Tinh ,2018,90.8992934367
Lam Dong ,2018,8.235597666700002
Kien Giang ,2018,311.8089976090563
Quang Tri ,2018,0.64168600002
Tuyen Quang ,2018,25.68169033736
Dong Thap ,2018,5.898
Yen Bai ,2018,7.3462086667
Kon Tum ,2018,10.421539544440002
Bac Kan ,2018,
Dak Lak ,2018,26.587762
Lang Son ,2018,11
Dien Bien ,2018,35465.555630188006
Lao Cai ,2018,0.7066666666999999
Quang Binh ,2018,29.493645666667
Ha Giang ,2018,0.06
Son La ,2018,0.8355555555999999
Dak Nong ,2018,37.654308
Cao Bang ,2018,
Lai Chau ,2018,
Hoa Binh ,2018,207.19369166667
Gia Lai ,2018,
Ha Noi ,2019,8295.410335946628
Ho Chi Minh ,2019,3412.805079162762
Binh Duong ,2019,2143.38918745948
Dong Nai ,2019,1582.5960561744978
Bac Ninh ,2019,1383.5404094619153
Hai Phong ,2019,1253.480137295846
Tay Ninh ,2019,1102.0660657364872
Bac Giang ,2019,1085.3509338986673
Ba Ria - Vung Tau ,2019,843.1648863148458
Ha Nam ,2019,797.7644313949631
Long An ,2019,683.9606200437985
Hai Duong ,2019,606.2901658347826
Thai Nguyen ,2019,581.0809792294783
Vinh Phuc ,2019,514.269956093962
Da Nang ,2019,460.1834138394561
Hung Yen ,2019,448.9771085593756
Binh Phuoc ,2019,395.3293076919184
Tien Giang ,2019,350.00184066396054
Thanh Hoa ,2019,348.4496346506636
Phu Tho ,2019,323.2742375158973
Thua Thien Hue ,2019,315.0504008104348
Nghe An ,2019,242.11073269565213
Quang Ninh ,2019,216.56715618061673
Phu Yen ,2019,199.487155934525
Khanh Hoa ,2019,180.69513847324845
Quang Nam ,2019,180.1674759620762
Binh Thuan ,2019,150.49566353916873
Vinh Long ,2019,147.9618301731538
Ninh Binh ,2019,134.77151452173916
Quang Ngai ,2019,130.17649817391305
Ninh Thuan ,2019,114.1475904347826
Bac Lieu ,2019,112.33546473913044
Soc Trang ,2019,110.48625063786957
Tra Vinh ,2019,90.65532638001915
Binh Dinh ,2019,80.2132447826087
Ca Mau ,2019,71.03913043478262
Hau Giang ,2019,68.79229894782608
Can Tho ,2019,66.33246112634744
Thai Binh ,2019,65.37991618981039
An Giang ,2019,64.72257402956524
Nam Dinh ,2019,59.736911388452405
Ben Tre ,2019,32.6413695252923
Ha Tinh ,2019,24.484091173489183
Lam Dong ,2019,20.668152361616546
Kien Giang ,2019,20
Quang Tri ,2019,16.598415
Tuyen Quang ,2019,13.024915347826088
Dong Thap ,2019,7.296169719999999
Yen Bai ,2019,5.627633190869567
Kon Tum ,2019,4.380228462173913
Bac Kan ,2019,2.5630434782608646
Dak Lak ,2019,1.3871664049032764
Lang Son ,2019,1.21739130434783
Dien Bien ,2019,0.9442166251675924
Lao Cai ,2019,0.7766167391304347
Quang Binh ,2019,0.502323
Ha Giang ,2019,0.3791413043478264
Son La ,2019,0.137228708956522
Dak Nong ,2019,0.0707304347826087
Cao Bang ,2019,0.0521739130434783
Lai Chau ,2019,-1.0379133043478268
Hoa Binh ,2019,38019.112259174435
Gia Lai ,2019,
Ha Noi ,2020,4355.930949473748
Ho Chi Minh ,2020,1883.6667533258399
Binh Duong ,2020,928.3486103762499
Dong Nai ,2020,901.1924930053774
Bac Ninh ,2020,1510.551380109769
Hai Phong ,2020,548.0658000611913
Tay Ninh ,2020,894.6893312513877
Bac Giang ,2020,2173.796798433945
Ba Ria - Vung Tau ,2020,729.7547076618748
Ha Nam ,2020,810.2965937202615
Long An ,2020,520.2759723667652
Hai Duong ,2020,400.76965606716794
Thai Nguyen ,2020,540.7105777256871
Vinh Phuc ,2020,217.54333777280686
Da Nang ,2020,487.77488092290656
Hung Yen ,2020,369.09981178330895
Binh Phuoc ,2020,167.15409862365414
Tien Giang ,2020,349.54334674859257
Thanh Hoa ,2020,290.739649575003
Phu Tho ,2020,42.19545471530516
Thua Thien Hue ,2020,169.44608341542565
Nghe An ,2020,505.6592834298012
Quang Ninh ,2020,0.4178062322458467
Phu Yen ,2020,76.56562172213825
Khanh Hoa ,2020,-36.097691384694855
Quang Nam ,2020,100.4483870090414
